A,51.49,*,A131116C00038000,,call,11/16/2013,10/28/2013 04:00:00 PM,38,5.55,12.8,13.6,0,0,0.7389,0.9705,0.7739,-1.5595,0.7886,
A,51.49,*,A131116P00038000,,put,11/16/2013,10/28/2013 04:00:00 PM,38,0.05,0,0.05,0,90,0.6531,-0.0172,0.5557,-0.8601,0.5005,
A,51.49,*,A131116C00039000,,call,11/16/2013,10/28/2013 04:00:00 PM,39,8.25,11.85,14.15,0,0,1.4538,0.8423,1.4115,-10.8545,2.8299,
A,51.49,*,A131116P00039000,,put,11/16/2013,10/28/2013 04:00:00 PM,39,0.05,0.01,0.03,0,2084,0.56,-0.0125,0.4934,-0.5615,0.3811,
A,51.49,*,A131116C00040000,,call,11/16/2013,10/28/2013 04:00:00 PM,40,11.95,10.95,11.7,0,50,0.7242,0.9465,1.2791,-2.4619,1.2775,
A,51.49,*,A131116P00040000,,put,11/16/2013,10/28/2013 04:00:00 PM,40,0.14,0.01,0.05,0,504,0.5566,-0.02,0.7408,-0.8327,0.5686,
A,51.49,*,A131116C00041000,,call,11/16/2013,10/28/2013 04:00:00 PM,41,10.65,10.1,10.6,0,7,0.5798,0.9633,1.1809,-1.4686,0.9443,
A,51.49,*,A131116P00041000,,put,11/16/2013,10/28/2013 04:00:00 PM,41,0.05,0.03,0.06,10,2440,0.5247,-0.0247,0.9399,-0.9389,0.6801,
A,51.49,*,A131116C00042000,,call,11/16/2013,10/28/2013 04:00:00 PM,42,10.4,9.1,9.65,0,78,0.5726,0.9481,1.5812,-1.9095,1.2486,
A,51.49,*,A131116P00042000,,put,11/16/2013,10/28/2013 04:00:00 PM,42,0.11,0.03,0.09,0,315,0.5135,-0.036,1.311,-1.254,0.9284,
A,51.49,*,A131116C00043000,,call,11/16/2013,10/28/2013 04:00:00 PM,43,10.25,8.15,8.65,0,276,0.5188,0.9433,1.8703,-1.8555,1.3381,
A,51.49,*,A131116P00043000,,put,11/16/2013,10/28/2013 04:00:00 PM,43,0.1,0.05,0.1,0,3858,0.4736,-0.0424,1.6246,-1.3218,1.0611,
A,51.49,*,A131116C00044000,,call,11/16/2013,10/28/2013 04:00:00 PM,44,9.2,7.15,7.65,0,955,0.4656,0.9376,2.2473,-1.797,1.4429,
A,51.49,*,A131116P00044000,,put,11/16/2013,10/28/2013 04:00:00 PM,44,0.13,0.07,0.11,0,1121,0.4322,-0.05,2.0304,-1.3757,1.2102,
A,51.49,*,A131116C00045000,,call,11/16/2013,10/28/2013 04:00:00 PM,45,7.75,6.6,6.7,0,782,0.4423,0.9173,2.9343,-2.1127,1.7899,
A,51.49,*,A131116P00045000,,put,11/16/2013,10/28/2013 04:00:00 PM,45,0.21,0.11,0.13,0,607,0.3965,-0.0622,2.632,-1.5008,1.4393,
A,51.49,*,A131116C00046000,,call,11/16/2013,10/28/2013 04:00:00 PM,46,5.25,5.6,5.75,0,859,0.4112,0.8944,3.7803,-2.3493,2.1438,
A,51.49,*,A131116P00046000,,put,11/16/2013,10/28/2013 04:00:00 PM,46,0.23,0.17,0.2,0,2048,0.3848,-0.0918,3.6454,-1.9571,1.9346,
A,51.49,*,A131116C00047000,,call,11/16/2013,10/28/2013 04:00:00 PM,47,4.72,4.7,4.8,2,4942,0.3737,0.8675,4.8843,-2.5052,2.5175,
A,51.49,*,A131116P00047000,,put,11/16/2013,10/28/2013 04:00:00 PM,47,0.26,0.24,0.27,14,2356,0.36,-0.1243,4.8495,-2.2782,2.4077,
