A,20131028,0.298,0.2965,0.2972,2268,775,55360,47707
AA,20131028,0.3679,0.4138,0.3908,58047,16141,647530,473790
AAMRQ,20131028,0,0,0,0,0,4801,972
AAN,20131028,0.4229,0.4506,0.4367,0,11,1457,438
AAON,20131028,1.0324,0.5437,0.7881,0,0,289,1845
AAP,20131028,0.2911,0.2926,0.2918,1574,238,14195,8566
AAPL,20131028,0.3381,0.389,0.3636,467378,251422,1821469,1010650
AAT,20131028,0.3256,0.3525,0.3391,0,0,0,8
AAU,20131028,0,0,0,0,0,1085,359
AAV,20131028,0.5438,0.5171,0.5304,109,1,3425,621
