AFSI,10/28/2013,38.55,38.865,38.23,38.75,557982
AINV,10/28/2013,8.55,8.625,8.52,8.611,1588555
AMAG,10/28/2013,24.69,26.849,24.69,26.37,281646
AUY,10/28/2013,10.33,10.43,10.14,10.22,5302304
BBD,10/28/2013,14.82,14.86,14.715,14.77,10398093
BKX,10/28/2013,64.84,65.24,64.69,65.01,0
BMY,10/28/2013,50.36,52.355,50.31,52.02,27867771
BP,10/28/2013,43.69,43.82,43.47,43.72,4601796
BTU,10/28/2013,19.12,19.86,19.01,19.4,5715009
CAT,10/28/2013,84.5,84.73,84.15,84.28,3978368
